feature,mean_abs_shap
airport_JNU,0.0004940350498240228
airport_MDT,0.00048800567469541224
airport_LNK,0.00047702551213382174
"airport_name_Sarasota/Bradenton, FL: Sarasota/Bradenton International",0.00047323718494927426
"airport_name_Santa Ana, CA: John Wayne Airport-Orange County",0.0004521653849844131
airport_FAR,0.00041701343194318287
airport_ONT,0.00041191276894442214
"airport_name_Mission/McAllen/Edinburg, TX: McAllen Miller International",0.0004020264891217143
airport_SAT,0.00039253054480475826
airport_MKG,0.0003842624931590941
carrier_name_AirTran Airways Corporation,0.00035766308707444903
airport_GJT,0.00033459640191791843
"airport_name_Norfolk, VA: Norfolk International",0.0003317545525757795
airport_JAC,0.00032039703658099435
"airport_name_Gulfport/Biloxi, MS: Gulfport-Biloxi International",0.00031115670618131247
"airport_name_Rock Springs, WY: Southwest Wyoming Regional",0.0002928618502739683
"airport_name_Colorado Springs, CO: City of Colorado Springs Municipal",0.00028960016941192475
airport_EYW,0.00028268218789281944
"airport_name_Idaho Falls, ID: Idaho Falls Regional",0.00028101567060075523
"airport_name_Springfield, IL: Abraham Lincoln Capital",0.0002710316960940521
airport_PHF,0.00025625886055915815
"airport_name_Hayden, CO: Yampa Valley",0.00024552500731320583
"airport_name_Longview, TX: East Texas Regional",0.00024274240153788796
"airport_name_Wichita, KS: Wichita Dwight D Eisenhower National",0.0002343348448808627
"airport_name_Green Bay, WI: Green Bay Austin Straubel International",0.00022606616500420068
"airport_name_Missoula, MT: Missoula International",0.00021982303412226747
airport_AVP,0.00021760338531890485
airport_ORH,0.00021588078562684662
"airport_name_Aguadilla, PR: Rafael Hernandez",0.00020556648368402026
airport_SDF,0.0001843779118661308
airport_BQN,0.000181453872520565
airport_FSM,0.00018127496314077326
"airport_name_Madison, WI: Dane County Regional-Truax Field",0.00017621846141056558
"airport_name_Cedar Rapids/Iowa City, IA: The Eastern Iowa",0.00016789777169121928
"airport_name_Providence, RI: Theodore Francis Green State",0.00013876213765124306
airport_LAN,0.00013705351688173844
"airport_name_Newport News/Williamsburg, VA: Newport News/Williamsburg International",0.00013306874065560563
"airport_name_King Salmon, AK: King Salmon Airport",0.00013239850427227345
"airport_name_Alexandria, LA: Alexandria International",0.0001316331593453017
airport_PVD,0.00013138427586167195
"airport_name_Bozeman, MT: Bozeman Yellowstone International",0.0001294407452461452
airport_JAX,0.00010308334049412059
"airport_name_Allentown/Bethlehem/Easton, PA: Lehigh Valley International",9.014066076955347e-05
"airport_name_Portland, ME: Portland International Jetport",8.445987013123518e-05
airport_BRW,7.755640913876027e-05
airport_PVU,7.59983673178161e-05
airport_MSO,7.014119352846171e-05
airport_SRQ,6.436958402099355e-05
airport_TUL,6.40858331251547e-05
"airport_name_Burbank, CA: Bob Hope",5.850326822935268e-05
"airport_name_Lewiston, ID: Lewiston Nez Perce County",5.0720809306403715e-05
"airport_name_Pensacola, FL: Pensacola International",4.8587923434928595e-05
"airport_name_Albany, NY: Albany International",4.740326126314396e-05
airport_BUF,4.3604204005398896e-05
"airport_name_Key West, FL: Key West International",4.179986864178637e-05
"airport_name_Traverse City, MI: Cherry Capital",3.907265899438398e-05
airport_STT,3.157482263584452e-05
airport_PBI,2.96203150639437e-05
